분류,사진,문제,족보여부,전체구조,정답1,정답2,정답3,정답4,정답5,정답6,정답7,정답8,정답9,정답10
head,glabella.jpeg,"화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full.jpg,glabella,,,,,,,,,
head,supra orbital notch.jpeg,"화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full.jpg,supra orbital notch,supra-orbital notch,supra orbital notch(foramen),supra orbital foramen,supra orbital foramen(notch),,,,,
head,supra orbital fissure.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full.jpg,superior orbital fissure,,,,,,,,,
head,lacrimal bone.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full.jpg,fossa for lacrimal sac,,,,,,,,,
head,coronal suture.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full3.jpg,coronal suture,,,,,,,,,
head,bregma.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full3.jpg,bregma,,,,,,,,,
head,lambda.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full3.jpg,lambda,,,,,,,,,
head,sutural bone.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full3.jpg,sutural bone,wormian bone,,,,,,,,
head,groove for superior sagittal sinus.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full4.jpg,groove for superior sagittal sinus,,,,,,,,,
head,granular foveolae.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
Tip) 복수형으로 쓰시오.",,head_full4.jpg,granular foveolae,granular foveolae (for arachnoid granulations),,,,,,,,
head,mandibular fossa.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full5.jpg,mandibular fossa,,,,,,,,,
head,carotid canal.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full5.jpg,carotid canal,,,,,,,,,
head,occipital groove.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full5.jpg,occipital groove,,,,,,,,,
head,clivus.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full6.jpg,clivus,,,,,,,,,
head,groove for greater petrosal nerve.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full6.jpg,groove for greater petrosal nerve,,,,,,,,,
head,groove for sigmoid sinus.jpg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full6.jpg,groove for sigmoid sinus,,,,,,,,,
head,internal occipital crest.jpg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full6.jpg,internal occipital crest,,,,,,,,,
head,foramen ovale.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰고 지나는 구조물을 1개만 쓰시오.
Tip) a,b의 형식으로 작성하시오.
예) 구조의 명칭,지나는 구조물",o,head_full5.jpg,"foramen ovale,mandible nerve","foramen ovale,accessory meningeal artery","foramen ovale,lesser petrosal nerve","foramen ovale,emissary vein",,,,,,
head,foramen lacerum.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰고 지나는 구조물을 1개만 쓰시오.
Tip) a,b의 형식으로 작성하시오.
예) 구조의 명칭,지나는 구조물",,head_full5.jpg,"foramen lacerum,internal carotid artery","foramen lacerum,greater petrosal nerve",,,,,,,,
head,foramen magnum.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰고 지나는 구조물을 1개만 쓰시오.
Tip) a,b의 형식으로 작성하시오.
예) 구조의 명칭,지나는 구조물",o,head_full5.jpg,"foramen magnum,medulla oblongata","foramen magnum,meninges","foramen magnum,vertebral arteries and venous plexus","foramen magnum,meningeal branches of vertebral arteries","foramen magnum,spinal roots of accessory nerves",,,,,
head,internal acoustic meatus.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰고 지나는 구조물을 1개만 쓰시오.
Tip) a,b의 형식으로 작성하시오.
예) 구조의 명칭,지나는 구조물",o,head_full6.jpg,"internal acoustic meatus,facial nerve","internal acoustic meatus,vestibulocochlear nerve","internal acoustic meatus,labyrinthine artery",,,,,,,
head,hypoglossal canal.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰고 지나는 구조물을 1개만 쓰시오.
Tip) a,b의 형식으로 작성하시오.
예) 구조의 명칭,지나는 구조물",o,head_full6.jpg,"hypoglossal canal,hypoglossal nerve",,,,,,,,,
head,condylar process.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full7.jpg,condylar process,,,,,,,,,
head,coronoid process.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,head_full7.jpg,coronoid process,,,,,,,,,
head,mandibular foramen.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full7.jpg,mandibular foramen,,,,,,,,,
head,mental foramen.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,head_full7.jpg,mental foramen,,,,,,,,,
neck,atlas.jpeg,"전체 구조의 이름을 쓰고, 보이는 면이 윗면인지 아랫면인지 쓰시오.
Tip) a,b의 형식으로, 보이는 면은 윗면 또는 아랫면으로 작성하시오.
예) 구조의 명칭,윗면",,atlas_full2.jpg,"atlas,윗면",,,,,,,,,
neck,transverse foramen.jpeg,"1번 화살표가 가리키는 구조의 명칭을 쓰시오.
",o,atlas_full2.jpg,transverse foramen,,,,,,,,,
neck,posterior tubercle.jpeg,"2번 화살표가 가리키는 구조의 명칭을 쓰시오.
",,atlas_full2.jpg,posterior tubercle,,,,,,,,,
neck,axis.jpeg,"전체 구조의 명칭을 쓰시오.
",,axis_full.jpg,axis,,,,,,,,,
neck,dens.jpeg,"화살표가 표시된 구조의 명칭을 쓰고, 이 구조의 한 면에 붙는 구조물의 명칭을 순서대로 쓰시오.
Tip) a,b의 형식으로 쓰시오.
예) 구조의 명칭,구조물의 명칭",o,axis_full.jpg,"dens,transverse ligament of atlas","dens,transverse ligament",,,,,,,,
neck,uncinate process.jpeg,"화살표가 가리키는 구조의 명칭을 쓰시오.
",,cervical_full4.jpg,uncinate process,,,,,,,,,
neck,superior articular facet.jpeg,"화살표가 표시된 구조의 명칭을 쓰고, 이 구조와 관절하는 구조물의 명칭을 순서대로 쓰시오.
Tip) a,b의 형식으로 쓰시오.
예) 구조의 명칭, 구조물의 명칭",o,thoracic_full6.jpg,"superior articular facet, occipital condyle",,,,,,,,,
